rank,id,name,city,rookieYear,opr,sponsors,website,profileUrl
,5214,"""B.R.O."" (Bot Resources Operation)","Dublin, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/5214
,31659,"(E.L.M.O.) Engineers of Lafayette Moraga Orinda","Oakland, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/31659
,31616,"404 Not Found","Santa Rosa, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/31616
,24689,"Acabots","Lafayette, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/24689
,8367,"ACME Robotics","Grass Valley, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/8367
,21027,"AHS Robotics","Martinez, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/21027
,16026,"Alphabots","Fremont, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/16026
,19639,"Alphabots","Fremont, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/19639
,27157,"AmadorArmada","Pleasanton, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/27157
,14300,"Animatronics","San Ramon, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/14300
,33949,"Apollo Robotics","San Jose, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/33949
,27933,"Aquanuts","Walnut Creek, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/27933
,4345,"Aragon Robotics","San Mateo, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/4345
,18715,"Artemis","San Jose, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/18715
,25829,"Artemis Robotics","Mill Valley, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/25829
,31176,"Aspen Ridge Gear Heads","Fresno, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/31176
,19819,"AstroBruins","Sunnyvale, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/19819
,9657,"Athena Robotics","San Jose, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/9657
,31813,"Aurelius Robotics","Hillsborough, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/31813
,32130,"Aureoboros","Fremont, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/32130
,10023,"AWOL","Atherton, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/10023
,31174,"Aztec Robotics","Mendota, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/31174
,23586,"Bacon Bots","Portola Valley, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/23586
,16283,"BANG!","Atherton, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/16283
,30735,"Baybots","Sunnyvale, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/30735
,30772,"Bear Force One","Folsom, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/30772
,12492,"Blender Bots","San Jose, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/12492
,21483,"Blinky Bots","Piedmont, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/21483
,524,"Boss Bots","Moraga, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/524
,30521,"Botcats","San Jose, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/30521
,14162,"Bots and Bytes","Fremont, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/14162
,31921,"Botzilla","Cupertino, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/31921
,30688,"BrickbotsFTC","Fremont, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/30688
,32245,"Broken Breadboards","Fresno, CA, USA",,,"",,https://ftc-events.firstinspires.org/2025/team/32245
